No, Arrival time, AE channel, Amplitude, Counts, Duration, Energy, Rise counts, Rise Time
     136,20:17:22:38:875:605600, 1,     62.7,      98,     1472,       0.007,      21,    197.0
     137,20:17:22:39:325:548500, 4,     97.2,      50,     1950,      11.837,       2,     10.0
     138,20:17:22:39:325:574800, 3,     63.2,     122,     2062,       0.012,      13,    170.0
     139,20:17:22:39:325:581300, 2,     60.4,      82,     1700,       0.006,       8,     70.0
     140,20:17:22:39:325:581400, 6,     61.6,      99,     1883,       0.010,       6,     50.0
     141,20:17:22:39:325:586700, 7,     54.7,      48,      676,       0.001,      13,    103.0
     142,20:17:22:39:325:593000, 8,     63.8,     106,     1897,       0.019,      23,    237.0
     143,20:17:22:39:325:595200, 5,     62.9,     118,     1783,       0.011,      21,    165.0
     144,20:17:22:39:325:605600, 1,     62.7,     113,     1471,       0.007,      21,    198.0
     145,20:17:22:39:775:548400, 4,     97.2,      53,     1949,      11.838,       2,     10.0
     146,20:17:22:39:775:575000, 3,     63.2,     108,     2061,       0.012,      12,    169.0
     147,20:17:22:39:775:581100, 2,     60.4,      78,     1699,       0.006,       8,     70.0
     148,20:17:22:39:775:581400, 6,     61.6,     100,     1883,       0.010,       6,     50.0
     149,20:17:22:39:775:586600, 7,     54.6,      51,      676,       0.001,      13,    103.0
     150,20:17:22:39:775:592800, 8,     63.8,     102,     1899,       0.019,      23,    238.0
     151,20:17:22:39:775:595100, 5,     62.9,     111,     1783,       0.011,      21,    165.0
     152,20:17:22:39:775:605400, 1,     62.7,     107,     1473,       0.007,      21,    197.0
     153,20:17:22:40:225:548300, 4,     97.4,      53,     1949,      11.840,       2,     10.0
     154,20:17:22:40:225:575000, 3,     63.2,     108,     2060,       0.012,      11,    168.0
     155,20:17:22:40:225:581000, 2,     60.4,      80,     1700,       0.006,       8,     70.0
     156,20:17:22:40:225:581200, 6,     61.6,     108,     1884,       0.010,       6,     50.0
     157,20:17:22:40:225:586500, 7,     54.7,      46,      675,       0.001,      13,    103.0
     158,20:17:22:40:225:592800, 8,     63.8,     100,     1898,       0.019,      23,    238.0
     159,20:17:22:40:225:595000, 5,     62.9,     124,     1783,       0.011,      21,    165.0
     160,20:17:22:40:225:605400, 1,     62.7,     102,     1473,       0.007,      20,    197.0
     161,20:17:22:40:722:457900, 5,     97.4,     110,     2955,      17.744,       2,     11.0
